feature,importance_mean,importance_std
Coding_Test_Score,0.3136707762353379,0.011854465076874746
Response_Relevance_Score,0.27872996468140127,0.010266843226650911
Technical_Questions_Answered,0.27493342492734063,0.016595083512753
Confidence_Score,0.2609737949537946,0.010285630506401336
Interviewer_Rating,0.14247871427001813,0.0048903983984667455
Behavioral_Questions_Answered,0.138610608836002,0.005362837354515409
Eye_Contact_Score,0.11268525026687923,0.004790612627640887
Body_Language_Score,0.11211906574478252,0.0045601834940387906
Time_Management_Score,0.09128608133685392,0.0029084522968101747
Filler_Words_Used,0.08226057136484274,0.002784949246032736
Network_Stability_Score,0.053477293382454036,0.0015529636193336177
Follow_Up_Questions_Asked,0.029938520761554056,0.0010479055639435566
Background_Noise_Level,0.01823288844113562,0.000972631504243975
Camera_On,0.01723719913361499,0.0011956371379733786
Microphone_Clarity,0.013012756866539021,0.0007466784905345816
Interview_Round,0.0016264400855450667,0.00020148298906931398
Education_Level,0.0011114223584822946,7.190270063111392e-05
Speech_Speed_WPM,0.0007477639718607599,9.491768161516599e-05
Dressing_Appropriateness,0.0006934309021683127,0.00016119273274498285
Duration_Minutes,8.51616743771988e-05,3.2346033450326796e-05
Interview_Mode,1.9781602177970647e-05,2.335607851271249e-05
Age,1.661510605961425e-05,3.1928052116873625e-05
Gender,5.021676118488472e-06,2.547396883744333e-05
Industry,-3.0375812001648405e-05,6.619525647063024e-05
Position_Applied,-5.89562467076643e-05,2.2347534726680955e-05
