Age,Education Score,Technical Questions Answered,Coding Test Score,Behavioural Questions Answered,Eye Contact Score,Confidence Score,Speech Speed (WPM),Filler Words Used,Interviewer Rating,Time Management Score,Round Score,Duration,Network Stability,Final Interview Performance Score
27,7,0,92,7,6.918042815002208,6.81166459086051,103,29,3.537271386142562,8.12317186800567,6.74639906319222,23,3.8406989383043704,6.230520785877216
40,2,7,21,1,3.7983603700679875,1.403006054542014,83,24,4.274286770268402,6.422228476331096,3.877688758669254,15,5.41917786402019,5.875561999520533
35,1,3,67,5,7.681132455152583,7.857161381191738,146,7,2.716533888318052,5.6047472426711265,1.5140544703339893,40,3.886602240804141,6.964661289982416
31,4,3,19,4,8.336065460323312,9.519799905941916,113,17,4.123561316494555,1.549064287048554,2.238667609585252,52,2.7303212662128273,7.24485914503295
28,8,4,95,9,6.534804163070191,4.057919444360061,136,18,5.925137683785788,3.5904816896644527,1.0083647518296495,52,3.785225941797408,8.174861932671782
41,2,7,99,8,7.190956988919236,5.6551544354289875,128,15,9.925955928813245,1.839443021003529,9.129012646102366,58,9.774138455292114,15.049226605362799
27,3,4,67,4,4.377339139983997,4.41019250252933,132,1,6.977815417646071,9.674408447906263,1.2215618545711473,36,4.7000207529536375,11.314457023806776
39,1,7,90,1,5.848261006087352,1.0603935127365396,102,7,2.7932135896748265,2.2157213160318463,2.8851019255855994,58,5.002414991725022,9.234049402644361
43,1,9,63,4,5.71743253653546,4.4728705260560435,148,21,1.4046529743239602,2.3659786886599186,4.746365026191166,24,6.18890490956026,9.240579225907137
31,3,0,16,3,8.632430120176947,8.125482333352117,132,5,2.137208331830595,9.006189564974429,4.209141933557372,20,9.85006691572804,8.433571334554633
31,5,9,11,6,8.559675822539642,6.363899579651337,141,11,6.062996811457427,9.49535455128812,9.20553289221498,31,3.174411487921867,5.842187917514387
44,3,8,21,5,8.49412422412339,1.9113392315364304,120,14,7.886442959350897,7.8924613531141885,1.362600511610879,52,7.131538994791905,5.950047513310902
41,1,5,16,1,1.0992845283621921,8.624255407244066,136,24,9.463772865706723,1.0486443130540288,5.609932369093464,38,7.443862241875517,9.077801361899718
24,1,2,9,4,7.745909360219994,5.779768103967186,139,7,1.1424085479713875,1.0121164386090733,7.124315162719366,24,6.465919751137593,6.525924330075673
28,8,7,64,6,7.828087510999044,8.575510255702085,133,3,5.704841274056828,4.402906928087057,9.38528176313052,22,1.7972050567297968,9.938712430289412
44,2,8,21,6,7.105409405696276,6.221993669065264,149,14,5.237806206008591,2.290558330098033,6.58334126911349,35,7.091850482448188,6.3344893930414745
23,3,5,89,4,7.806381921023073,6.037196003541459,136,27,6.904495197781336,1.1654752793643754,8.233797124105864,20,1.5768523993255794,8.949168092416269
42,2,6,81,8,8.577733343470378,1.9473326667731115,89,19,6.036209690188078,5.176600204640542,1.7535244406081356,35,6.365283845949072,6.54626708236631
41,3,0,49,3,5.232871486916071,2.5062375982476515,119,24,7.183352355242325,9.487557076662744,4.473455598432347,53,7.656230594995684,3.4556770059146817
22,7,4,13,2,5.518451921396024,9.74822730846932,86,16,6.9227432627427135,3.9143761741218825,4.365524210311607,38,2.898729015579554,4.800825399717178
44,1,4,63,3,2.122426512202514,3.0563807207929368,117,12,2.053105523721516,6.950266105858269,8.97659394810146,47,8.574598067884967,5.312202129335471
32,8,9,46,4,4.468382947426257,9.79706906191331,140,17,8.197461222568476,6.870118178191967,2.3623405413694742,32,1.2731842497970383,11.256616534011918
26,2,3,28,5,6.790286619206059,5.78721435871837,82,1,2.109093181446924,3.25972093298651,2.3669755510296726,42,8.594315772924755,7.075775905399631
22,3,5,75,2,8.02359798532547,2.222101423575434,130,12,7.286775626882234,6.853827239414779,3.957023348972186,46,5.142961455784886,7.9165759698067095
41,9,6,35,1,2.954881879220895,1.8937198247832365,126,12,4.745308308765461,2.9110057685820214,1.4901944263015383,26,2.9582914593848004,4.343753226301487
21,7,8,98,3,2.2404060924331186,2.87977663635166,147,21,5.624656611189382,2.0980667221920015,2.6421223658724102,56,2.204003304945712,9.635159234927086
32,4,0,51,4,6.96737804050443,9.330735970228021,155,14,9.129682129381395,7.312449570037211,9.686886746911616,41,9.579764508241354,6.8058023325725525
42,5,5,75,3,1.0169189517241959,4.727352018954042,117,19,9.008953538261379,2.0209673539352506,4.853655458804555,24,1.6539902882304105,11.442359980329362
